"","P2RY12","TMEM119","CX3CR1","TREM2","GPR34","CD14","CD68","CD163","ITGAM","CD86","MRC1","CCR2","FCN1","LYZ","ISG15","CXCL10","IFIT1","STAT1","IRF7","IFI6","MX1","CXCL9","OAS1","CD74","HLA-DRA","HLA-DRB1","CTSB","CTSS","CD83","IL1B","IL6","TNF","CCL2","CCL4","CCL5","LGALS9","HAVCR2","CD274","IDO1","CD3D","CD4","CD8A"
"FLVCR1",0.00824814676440703,0.0312724039889295,-0.0156264807675617,-0.124078670719285,-0.00142578981943119,-0.223004106217001,0.0187741632901317,-0.0859693627060979,-0.0092344357579064,-0.0530928101259565,-0.0624985737015855,-0.0818634784311874,-0.0502648845525565,-0.128537871779162,0.0157847729728883,-0.0650455340688525,0.0548724303006223,0.20372782814221,0.129624525092015,-0.0338527834949577,0.0664067147129844,-0.0190207593792473,0.0323599848489028,-0.257543172801913,-0.221164288683042,-0.177471694213912,-0.186688909941223,-0.100018723049555,0.157836642701701,-0.0983403162077479,-0.123709217259411,0.0386986705143117,-0.203310834121357,-0.0612791302501696,-0.185054744871798,-0.21212188215648,-0.0584346262025836,-0.0597306053313195,-0.0696345506904214,-0.172681939557492,-0.203733989357181,-0.0610572744727797
"FLVCR2",0.325275684382382,0.462812384392143,0.319417237552804,0.505680890478488,0.591877620539215,0.715721949232897,0.170901858450548,0.746993865280136,0.769608174664384,0.76968225358865,0.640234357747616,0.505946905828628,0.542159837062113,0.666493395451293,0.0187909437567549,0.0453284508325028,0.0380762560217881,0.160290487938104,0.232465808556122,-0.00610870649549422,0.0828921260076831,0.0694467266473397,0.0554693196677247,0.420423846931234,0.51207242809146,0.534933692405951,0.704363510835629,0.813270439246513,0.307460128085632,0.336251354315306,0.245935447358319,0.284794901969685,0.336674302247009,0.382038316856092,0.352702497142409,0.302431797659535,0.7964661071563,0.212886542490064,0.172936903332752,0.36935715901283,0.712051568810887,0.107972887319566
"TXNDC16",0.0719421948008595,0.0265777404610898,0.0510625947749257,-0.132609757341899,0.0547379397675263,-0.200592903627402,-0.0260158387431843,-0.0563909646134963,-0.0161776773189871,-0.00124862044592892,-0.0500997320032475,-0.0748252160518318,-0.0947850524851359,-0.119562567048894,0.0163048130573251,-0.114085976045694,0.121909430580626,0.174028807105252,0.121958685392703,-0.0103241727841732,0.0886555918672966,-0.0733725508930375,0.0135383364962099,-0.194060138231571,-0.182727484786821,-0.134165948179274,-0.210626884959564,-0.0897190524036112,0.10431111164786,-0.126028600280355,-0.194358808144012,0.0482775224669167,-0.254472434786604,-0.0150604769278114,-0.196774102249698,-0.170743368810177,-0.0582912479097238,-0.0982999103020655,-0.0785095857518839,-0.211706498166704,-0.154093163746242,-0.0857708382190564
"SOAT1",0.188906747550625,0.385571563718112,0.261956803880184,0.311453339410715,0.514855416554785,0.417825019882854,0.0587712162796028,0.554726461133511,0.683959122917297,0.661189935010508,0.46719849326628,0.450129107939671,0.296608425837587,0.453681154679129,0.0330102385183665,0.033546717710148,0.0925943523871114,0.317014654071833,0.232670388712624,0.0124111895652808,0.130620240942976,0.0548156719547334,0.115281945822954,0.255392340432026,0.330907859908443,0.39833251986648,0.463422530152196,0.573104636494242,0.402746948983903,0.203921299800247,0.158651398276149,0.164747392962935,0.182034662158889,0.216845614085877,0.217160964305886,0.111605746184401,0.586981184132044,0.228630565312679,0.0881282006440779,0.226440485009111,0.435468542457441,0.0807289274845032
"SOAT2",-0.0773647311485105,0.174263445222279,-0.0140338357033798,0.0952264172366373,0.185256928361255,0.270791235192658,0.194909949238567,0.179876355063385,0.203367426939463,0.210227371217305,0.292740167873492,0.48938427675309,0.315684035535844,0.354708087279481,-0.091430881395958,0.0900630019346695,-0.108699262976082,-0.087601578220717,-0.0405288773312654,-0.0810949506020592,-0.0796123544802751,0.081407944132771,-0.0711271998397371,0.221938047267063,0.261293913695837,0.259462359923659,0.382349220608736,0.254397070014788,0.151344804387342,0.179222344953411,0.196451007000931,0.0761219311100324,0.377628739582393,0.0858050886238787,0.348853859521901,0.136292828076822,0.146688292586213,0.1949254067055,0.0351138648387435,0.345572695614652,0.219975594918167,0.294737073380753
"SCAP",0.0203248906865952,0.128720209128846,0.150974171041815,-0.0146717568605384,-0.0219161892128785,0.0117618563093724,-0.00694885854539834,0.0808122432241167,0.243463659250881,0.0763467204468976,0.030916821337925,0.0986314996343645,0.030897792542969,-0.045156894408499,-0.000465793837812812,-0.0991134727093011,-0.0149430215766304,0.187574366240421,0.221405237681265,-0.023386328550368,0.067726245124989,-0.0215446119620123,-0.00185539968032186,0.00272792502478133,-0.0967010266030669,0.023554806433753,0.0636380735830699,0.000446388515354497,0.210728136458527,-0.000692215802791727,-0.0950161364431196,0.00751925361639635,-0.193248025814941,-0.032272693500983,-0.0971185087931625,-0.0348283430545479,0.0740225209727373,0.0796607975419495,-0.0515918413173507,-0.111358578753203,0.067526422829865,-0.027980632227931
"SREBF1",0.0745165967528084,0.224352136639495,0.137043417799839,0.182631776424136,0.173097204407335,0.228015202965336,0.0739358673201324,0.316562392490485,0.391040820281418,0.321644653324112,0.217520527736458,0.141696135794649,0.117229312872749,0.172375227561931,0.10583221301746,-0.0178350411859717,0.189661175142313,0.155668397829524,0.337475278356066,0.0874234036917206,0.286171486514134,-0.0368077289751311,0.117823124098008,0.163485031858387,0.118239044130816,0.194408056018338,0.255010677030994,0.264462778896338,0.274811756915473,0.159287467574257,0.059694329323267,0.0864997171438377,0.0888085969259462,0.13276402506478,0.0703316518156188,0.131159976271433,0.30785487078064,0.139237697810501,0.0437582095915023,0.0602558446311896,0.270716946969864,-0.0296431678135912
"LRP1",-0.0407430018714334,0.0999432922262461,0.0558321312418121,0.0424852550181813,0.030720648740083,0.144588030299462,-0.0960638022015208,0.291032637169237,0.432584316685716,0.219131225730568,0.280932723822835,0.264047032379615,0.202525399456319,0.140268339750884,-0.0646600220632763,-0.072024542563002,-0.0613811436107677,0.107462078382971,0.118270785209203,-0.0969532850402468,-0.00843981672214762,-0.0194179698431673,-0.0113628773296974,-0.0446514549770489,0.014366936100297,0.0940628600753554,0.165284625971065,0.211143916333662,0.111420152026398,0.0740179723361811,0.0030483271073174,0.0147884428791138,0.031222035810857,0.0362439023342155,-0.0462736758863498,-0.18184141182958,0.181512238363294,0.22300940879309,-0.00863654284396777,0.018503726254709,0.0873144240996967,-0.0759307287007973
"LRP8",-0.0346739183470475,-0.0554174961380199,0.0159044619709592,-0.121212156709087,-0.0788952969241537,-0.0982495463877885,-0.0982986094676827,0.0305896898826934,0.162029064171752,-0.00588751188493735,0.054270539436363,-0.00479930979895826,0.00823040231507025,-0.0812667117504547,-0.0756375531398803,-0.161629071817404,-0.0448836674423497,0.0858197078579736,0.0628662346356994,-0.163205095256104,-0.0112661001749469,-0.0570201685879902,-0.103676982598957,-0.256812934553121,-0.222304762844174,-0.131192816062943,-0.0503241725477626,-0.0264383796796494,0.156665342806329,0.0226646125942969,-0.00351615945045459,0.00489347971572249,-0.152985152961144,-0.0649891455752357,-0.200152804187016,-0.28994212648423,0.018470880283017,-0.0263819043124237,-0.0626634176827852,-0.174988675182695,-0.138255161891899,-0.0971201727673639
"LDLR",-0.188353638092825,0.067477068381975,-0.0752412944365383,-0.0778032862053422,-0.146101216077437,0.0819117462440048,-0.117411152968372,0.164784856906735,0.300262030694153,0.0875487155498242,0.195804821824634,0.205846863485205,0.0615290241211084,0.0193031716136565,-0.0210139057782285,-0.0114977461254646,-0.0766828150264558,0.116674064265213,0.168042958569923,-0.079176582283365,0.035395935392056,0.0214880888355252,-0.0336782791402325,-0.0614853102242349,-0.0283099704685998,0.0623808335668535,0.140288194244924,0.0443913001826725,0.217489153133081,0.138955798055401,0.228479371321458,-0.15299649304031,0.152619800962312,-0.057549657973734,-0.0860707262860826,-0.208413830889343,0.0296666927776792,0.287280533269419,0.04263166219952,-0.0281400857455664,-0.01587055241579,-0.0793015850682111
"APOA1",-0.0850353101764623,0.0463705941988348,-0.0463374505389354,0.101667034625539,0.112438833318467,0.160077595182814,0.117060869951525,0.113698799595841,0.139258798697605,0.132793825309227,0.183407894529834,0.236051483004411,0.164373703978913,0.125817305699004,0.00613741978453791,0.0129025981643396,-0.0103558617363116,-0.0275535932351726,0.0524362200179718,0.00438553983457992,0.012420967014702,0.00909326918036281,-0.00972989233616973,0.0636955481989789,0.099504342853074,0.07969588084449,0.284363074306533,0.106488466033683,0.00909326701714951,0.0710215764643038,0.0483137984053447,0.101751388190803,0.050758030686317,0.106279403233881,0.036856134682466,0.00963327243926572,0.0954668855085324,0.241968448754223,0.00203624833444888,0.0908799678321247,0.0988968166720675,0.0289742907961193
"APOB",0.00254239079353455,0.18164470173923,0.0574873403610217,0.0833637494851764,0.14559602399132,0.134895273280546,0.0113166866608041,0.361175213087718,0.289039944632167,0.244732953036782,0.347710642680304,0.21304789640416,0.126022936942199,0.129193167968211,-0.0419557926864443,-0.0890077731829299,0.00800692230628701,0.0176100393561287,0.0667303691273651,-0.0507946010943155,0.0293554345564847,-0.00289515591751701,-0.0221245254468959,0.0286448276691595,0.0652826998335089,0.0875237140707957,0.116110544352879,0.20408912101294,0.133856682942872,0.0504623886166944,0.0982098892795749,0.191321340810423,-0.00508945553547621,0.191861839296342,0.00783554062910369,-0.0731702831982575,0.212720748128614,0.0905126525564267,-0.0407197201996533,0.0383577206199714,0.127357500921369,0.0195853578746784
"APOC1",0.343948988513873,0.425407250668824,0.279944049278919,0.83139497408918,0.646353150850508,0.519718980342394,0.17775073272739,0.303323965667358,0.365790122818828,0.648349853054374,0.213826106046596,0.267873533486002,0.288253302927075,0.538520985169776,0.206795519183841,0.166994539103768,0.186202777684954,0.0918370503283518,0.188322820933651,0.213683777847222,0.133572581388708,0.0907903543848281,0.166640158371139,0.467266195980136,0.610723682661838,0.520356521440628,0.489513509965557,0.651084277951254,0.221806548176563,0.185461361314289,0.0913611152985568,0.255440861790848,0.285582009853197,0.388134296336276,0.388142741202996,0.508617815507713,0.684358813493975,0.0779597092901621,0.102703207371469,0.476932410102579,0.543599175961578,0.230752897752087
"APOD",-0.0103076987262823,0.176574866625042,-0.00913633227539039,-0.0194235323090598,0.0323283107698861,0.0663216184356969,0.19231255748627,0.0533732501587609,-0.0162634866543649,0.000363882151839678,0.0658593157358733,0.188008005289975,0.0273758359306652,0.0984619601576683,-0.0436407958851282,0.265628992201498,-0.0403672837347958,-0.0634426670432647,-0.0980009301072441,-0.0280328550233812,-0.064095106188845,0.00863602357649632,-0.0466451752023424,0.0800379837033097,0.03156648222211,0.0206241167248708,0.0942610892173886,0.029590836282202,-0.0496141665683691,-0.0281094635096955,0.0210707749247432,0.103931504563226,0.0303563782100606,0.0780787621454887,0.447536131277583,0.142865616915194,-0.0243428445152657,-0.0345392140003963,0.0493152429808862,0.334183935115817,0.0850888395465097,0.353472312699537
"APOE",0.333498701755764,0.329697687876464,0.364495170476996,0.458281496437781,0.385027508854773,0.321607543600206,0.10021928288747,0.221309736284484,0.277704512241462,0.426279847017578,0.173775974270439,0.157911560613662,0.154313827494965,0.313426294542192,0.247372627909597,0.101825285910633,0.26188612299821,0.195171989817657,0.284142917264941,0.240132914687987,0.193179056311135,0.0456108971156974,0.174386453177575,0.41496659374043,0.372025876019988,0.381453837676289,0.281702217447428,0.401687931230074,0.196692439176917,0.114454737091388,0.0495629546392198,0.22807064580357,0.0669849177420228,0.267118355650818,0.316271023654576,0.398693700487426,0.423328446109228,-0.0136674809328211,0.0652333070839389,0.287681815286796,0.447345343733148,0.164978231076637
"DGAT1",0.0315829009817129,0.154348208421099,0.0743247927448022,-0.041007309385094,-0.0128054188880029,-0.0253245360943494,0.222131343613445,-0.102076191260841,-0.0613830931892067,-0.077650838501206,-0.0945490313676896,-0.101752393225193,-0.00771330048785751,-0.0927257489872685,0.0435406008026496,0.0382980545819715,0.0316592308700974,0.109311114062306,0.18600618706393,0.10391044668258,0.0715128367184279,0.0119459624989435,0.124098372788524,0.0948430827525597,-0.0713895158997044,-0.0592838567760056,0.0297668110631198,-0.119700373960364,0.168465341750382,0.0345031771563269,-0.0277059214724763,0.099457591415419,-0.131030111177353,0.0466335439517646,0.091328433526812,0.213993894747087,-0.0719945004093763,0.0108287943749691,-0.025995427408228,-0.0119923246705891,0.0659964027506215,0.151959908697126
"DGAT2",0.0761799026434687,0.120793316884094,0.0770138919208318,0.0851909556584832,0.133493165441635,0.247593182782331,0.0714045757057778,0.226107756070957,0.203541508206768,0.197683356907949,0.235573821912399,0.167598499618621,0.249693065201126,0.193822688262129,-0.0445165845538523,-0.0861094828282027,-0.0168440511262373,-0.0258631663629211,0.0152236061803024,-0.0405345038930039,-0.0149148378083733,0.00431651446669952,-0.0742477203505684,0.161020560319673,0.129334704373749,0.144485527297137,0.19807884648823,0.226169697869204,0.215374565971281,0.131700060750417,0.149657219918954,0.184919205519922,0.043910285319822,0.170629022877549,0.126655322739204,0.138856492233961,0.181366056277936,0.0393891295130473,-0.0298864055407052,0.058556963958321,0.25079773376651,0.194437881633007
